Year;LV
1962;Thor Agena B
1962;Thor Delta
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Kosmos 63S1
1962;Thor Delta
1962;Atlas Agena B
1962;Atlas Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Atlas Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Vostok 8A92
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Atlas Agena B
1962;Atlas Agena B
1962;Vostok 8K72
1962;Vostok 8K72
1962;Kosmos 63S1
1962;Scout X-2M
1962;Molniya 8K78
1962;Molniya 8K78
1962;Atlas Agena B
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Molniya 8K78
1962;Molniya 8K78
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Molniya 8K78
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Delta
1962;Vostok 8A92
1962;Thor Agena B
1962;Thor Agena B
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Delta A
1962;Atlas D
1962;Thor Agena B
1962;Thor Agena B
1962;Thor Agena B
1962;Vostok 8A92
1962;Atlas Agena B
1962;Atlas Agena B
1962;Kosmos 63S1
1963;Molniya 8K78
1962;Kosmos 63S1
1963;Thor Agena D
1963;Thor Delta A
1962;Thor Ablestar
1963;Molniya 8K78
1963;Molniya 8K78
1963;Molniya 8K78
1963;Thor Agena B
1963;Thor Agena B
1963;Thor Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Thor Agena B
1963;Thor Agena B
1963;Thor Agena B
1963;Thor Agena B
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1962;Thor Agena D
1963;Thor Delta B
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Scout X-3
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1962;Scout X-3
1962;Vostok 8A92
1963;Molniya 8K78
1963;Molniya 8K78
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena B
1963;Molniya 8K78
1963;Molniya 8K78
1963;Thor Delta B
1963;Scout X-3M
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Vostok 8A92
1963;Thor Agena D
1963;Thor Agena D
1963;Molniya 8K78
1963;Molniya 8K78
1963;Thor Delta B
1963;Scout X-3
1963;Kosmos 63S1
1963;Kosmos 63S1
1963;Vostok 8A92
1963;Scout X-2M
1963;Thor Agena D
1963;Thor Agena D
1963;Vostok 8A92
1963;Thor Delta B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas D
1963;Atlas D
1963;Atlas D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Kosmos 63S1
1963;Vostok 8A92
1963;Kosmos 63S1
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Vostok 8K72
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Scout X-3
1963;Vostok 8K72
1963;Thor Delta B
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Scout X-4
1963;Thor SLV-2A Agena B
1963;Thor SLV-2A Agena B
1963;Atlas Agena D
1963;Atlas Agena D
1963;Thor Agena D
1963;Thor Agena D
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Atlas Agena B
1963;Thor Delta B
1963;Thor SLV-2A Agena D
1963;Thor SLV-2A Agena D
1963;Kosmos 63S1
